feature,importance
debtRatio_sec_z,0.24916278
debtEquityRatio_log_sec_z,0.24742599
cashflow_debt_coverage,0.14297594
leverage_coverage_sec_z,0.1370644
returnOnCapitalEmployed,0.07226557
companyEquityMultiplier_log_sec_z,0.0707188
operatingCashFlowPerShare,0.069888666
debtRatio,0.068441704
returnOnAssets_sec_z,0.06756947
quickRatio_log_sec_z,0.06430712
returnOnCapitalEmployed_sec_z,0.06386068
enterpriseValueMultiple,0.05942392
pretaxProfitMargin,0.058538307
roa_leverage,0.051635254
operatingCashFlowSalesRatio_sec_z,0.050788414
debtEquityRatio_sec_z,0.04843297
enterpriseValueMultiple_sec_z,0.043662336
operatingCashFlowPerShare_log_sec_z,0.04318382
effectiveTaxRate,0.0430438
freeCashFlowOperatingCashFlowRatio_sec_z,0.04106239
quickRatio_sec_z,0.040424038
payablesTurnover_log_sec_z,0.040199317
ebitPerRevenue,0.03823315
quickRatio,0.037863288
companyEquityMultiplier_sec_z,0.036249973
liquidity_score,0.032504402
cashRatio,0.03243913
equity_efficiency_sec_z,0.03216166
cashPerShare_log_sec_z,0.03163415
returnOnAssets,0.031527165
enterpriseValueMultiple_log,0.031304576
payablesTurnover,0.029643139
freeCashFlowOperatingCashFlowRatio,0.029612351
cashflow_debt_coverage_sec_z,0.028719278
debt_service_ratio_sec_z,0.028053923
grossProfitMargin,0.027844248
roa_leverage_sec_z,0.027832758
returnOnEquity_sec_z,0.027729236
debtEquityRatio,0.027558027
operatingCashFlowSalesRatio,0.027128318
payablesTurnover_sec_z,0.026051559
margin_stability,0.023319496
enterpriseValueMultiple_log_sec_z,0.023081036
daysOfSalesOutstanding,0.022096228
margin_stability_sec_z,0.02110283
freeCashFlowPerShare,0.020621156
fixedAssetTurnover_log_sec_z,0.02042532
cashPerShare_sec_z,0.020341245
daysOfSalesOutstanding_log_sec_z,0.019338503
operatingCashFlowPerShare_log,0.019238725
cashRatio_sec_z,0.019132646
cashRatio_log_sec_z,0.01900266
debt_service_ratio,0.018923376
fixedAssetTurnover,0.018391961
freeCashFlowPerShare_sec_z,0.01823065
currentRatio,0.017804889
operatingProfitMargin,0.017712858
efficiency_composite,0.017596396
cashPerShare,0.017248996
netProfitMargin_sec_z,0.016779317
quickRatio_log,0.016297733
assetTurnover_sec_z,0.016034551
currentRatio_log_sec_z,0.015734477
currentRatio_sec_z,0.015409308
payablesTurnover_log,0.015212773
profitability_composite,0.014865431
fixedAssetTurnover_log,0.014760681
cash_liquidity_ratio,0.014710902
equity_efficiency,0.014672984
daysOfSalesOutstanding_sec_z,0.014654293
cashRatio_log,0.014546495
freeCashFlowPerShare_log_sec_z,0.014538805
returnOnEquity,0.014153801
grossProfitMargin_sec_z,0.014058536
fixedAssetTurnover_sec_z,0.013622194
liquidity_score_sec_z,0.013128547
leverage_coverage,0.013019202
debtEquityRatio_log,0.012455469
operatingCashFlowPerShare_sec_z,0.012451904
netProfitMargin,0.01218199
effectiveTaxRate_sec_z,0.012143053
companyEquityMultiplier,0.011767146
cash_liquidity_ratio_sec_z,0.01163028
efficiency_composite_sec_z,0.011338832
cashPerShare_log,0.010661278
Sector_Basic Industries,0.010561027
freeCashFlowPerShare_log,0.00994
currentRatio_log,0.009848054
daysOfSalesOutstanding_log,0.009636219
ebitPerRevenue_sec_z,0.009551987
operatingProfitMargin_sec_z,0.009425986
assetTurnover,0.009394492
pretaxProfitMargin_sec_z,0.009117254
profitability_composite_sec_z,0.007769044
Sector_Technology,0.007722762
Sector_Consumer Non-Durables,0.0041524833
Sector_Consumer Services,0.004062074
companyEquityMultiplier_log,0.002235518
Sector_Public Utilities,0.0010859086
Sector_Capital Goods,0.0010408105
Sector_Energy,0.0010119136
Sector_Finance,0.000664362
Sector_Health Care,0.00050976814
Sector_Transportation,0.00038883046
Sector_Consumer Durables,0.00023161748
Sector_Miscellaneous,7.351899e-05
